symbol,type,common_name,hq_aprox_location_lat,hq_aprox_location_lon,Date,Open,High,Low,Close,Adj Close,Volume,Year
BTCUSD,Crypto,Bitcoin,0,0,15/9/2014,465.864014,468.174011,384.532013,398.821014,398.821014,156903400,2014
BTCUSD,Crypto,Bitcoin,0,0,22/9/2014,399.100006,441.557007,374.332001,377.181,377.181,186772600,2014
BTCUSD,Crypto,Bitcoin,0,0,29/9/2014,376.928009,391.378998,289.29599,320.51001,320.51001,276657896,2014
BTCUSD,Crypto,Bitcoin,0,0,6/10/2014,320.389008,382.726013,302.559998,378.549011,378.549011,341152804,2014
BTCUSD,Crypto,Bitcoin,0,0,13/10/2014,377.92099,411.697998,368.897003,389.54599,389.54599,156902070,2014
BTCUSD,Crypto,Bitcoin,0,0,20/10/2014,389.230988,392.645996,342.877014,354.70401,354.70401,113691800,2014
BTCUSD,Crypto,Bitcoin,0,0,27/10/2014,354.777008,359.984009,320.626007,325.891998,325.891998,107075700,2014
BTCUSD,Crypto,Bitcoin,0,0,3/11/2014,325.569,363.626007,325.076996,363.264008,363.264008,116793470,2014
BTCUSD,Crypto,Bitcoin,0,0,10/11/2014,362.265015,457.092987,357.561005,387.881989,387.881989,208239500,2014
BTCUSD,Crypto,Bitcoin,0,0,17/11/2014,388.348999,410.199005,344.112,367.572998,367.572998,178181000,2014
BTCUSD,Crypto,Bitcoin,0,0,24/11/2014,366.947998,394.700989,358.454987,378.046997,378.046997,131238570,2014
BTCUSD,Crypto,Bitcoin,0,0,1/12/2014,378.248993,384.037994,365.756012,375.095001,375.095001,80679570,2014
BTCUSD,Crypto,Bitcoin,0,0,8/12/2014,374.964996,376.028992,338.763,351.631989,351.631989,141754100,2014
BTCUSD,Crypto,Bitcoin,0,0,15/12/2014,351.360992,351.815002,304.231995,320.842987,320.842987,184757400,2014
BTCUSD,Crypto,Bitcoin,0,0,22/12/2014,321.067993,336.286987,311.078003,317.239014,317.239014,107137540,2014
BTCUSD,Crypto,Bitcoin,0,0,29/12/2014,317.700989,320.434998,257.612,264.195007,264.195007,143354400,2014
BTCUSD,Crypto,Bitcoin,0,0,5/1/2015,265.084015,298.753998,265.039001,265.660004,265.660004,164241500,2015
BTCUSD,Crypto,Bitcoin,0,0,12/1/2015,266.145996,272.203003,171.509995,210.339005,210.339005,363112212,2015
BTCUSD,Crypto,Bitcoin,0,0,19/1/2015,211.470993,255.074005,205.153,253.718002,253.718002,189165500,2015
BTCUSD,Crypto,Bitcoin,0,0,26/1/2015,254.078995,309.384003,212.014999,226.972,226.972,306840500,2015
BTCUSD,Crypto,Bitcoin,0,0,2/2/2015,226.490997,245.957001,214.725006,223.412003,223.412003,183691200,2015
BTCUSD,Crypto,Bitcoin,0,0,9/2/2015,223.389008,265.610992,215.332001,234.824997,234.824997,230343800,2015
BTCUSD,Crypto,Bitcoin,0,0,16/2/2015,234.824997,255.320007,229.022003,235.977005,235.977005,154676000,2015
BTCUSD,Crypto,Bitcoin,0,0,23/2/2015,235.994995,261.660004,232.421005,260.201996,260.201996,138892900,2015
BTCUSD,Crypto,Bitcoin,0,0,2/3/2015,260.356995,285.79599,258.312988,274.354004,274.354004,242425100,2015
BTCUSD,Crypto,Bitcoin,0,0,9/3/2015,274.812012,300.044006,273.893005,286.393005,286.393005,259502000,2015
BTCUSD,Crypto,Bitcoin,0,0,16/3/2015,285.684998,294.112,248.636002,267.959991,267.959991,206778200,2015
BTCUSD,Crypto,Bitcoin,0,0,23/3/2015,267.894989,277.296997,236.514999,242.712997,242.712997,179497700,2015
BTCUSD,Crypto,Bitcoin,0,0,30/3/2015,242.878998,260.674988,239.214005,260.597992,260.597992,150120700,2015
BTCUSD,Crypto,Bitcoin,0,0,6/4/2015,260.721008,261.798004,232.770996,236.153,236.153,147866600,2015
BTCUSD,Crypto,Bitcoin,0,0,13/4/2015,235.949997,236.934998,216.322998,222.600006,222.600006,158658500,2015
BTCUSD,Crypto,Bitcoin,0,0,20/4/2015,222.612,237.908997,214.873993,219.429993,219.429993,148576200,2015
BTCUSD,Crypto,Bitcoin,0,0,27/4/2015,219.429001,243.240005,218.022995,240.358002,240.358002,162643200,2015
BTCUSD,Crypto,Bitcoin,0,0,4/5/2015,240.356003,247.804001,228.572998,240.296005,240.296005,166059200,2015
BTCUSD,Crypto,Bitcoin,0,0,11/5/2015,240.298996,244.270004,234.057007,236.802002,236.802002,130322100,2015
BTCUSD,Crypto,Bitcoin,0,0,18/5/2015,236.886993,241.977997,231.817001,240.953003,240.953003,114746500,2015
BTCUSD,Crypto,Bitcoin,0,0,25/5/2015,240.927002,241.020996,229.542007,230.190002,230.190002,107149900,2015
BTCUSD,Crypto,Bitcoin,0,0,1/6/2015,230.233002,231.712997,221.296005,222.880997,222.880997,121536400,2015
BTCUSD,Crypto,Bitcoin,0,0,8/6/2015,222.878998,234.858002,222.839005,233.542999,233.542999,121541200,2015
BTCUSD,Crypto,Bitcoin,0,0,15/6/2015,233.421997,256.852997,233.421997,243.944,243.944,191537000,2015
BTCUSD,Crypto,Bitcoin,0,0,22/6/2015,243.968994,251.339005,240.365005,249.011002,249.011002,115888900,2015
BTCUSD,Crypto,Bitcoin,0,0,29/6/2015,248.720993,274.506012,248.580994,271.912994,271.912994,206668700,2015
BTCUSD,Crypto,Bitcoin,0,0,6/7/2015,271.108002,314.394012,264.385986,310.867004,310.867004,353198700,2015
BTCUSD,Crypto,Bitcoin,0,0,13/7/2015,310.826996,310.947998,272.042999,273.614014,273.614014,235861300,2015
BTCUSD,Crypto,Bitcoin,0,0,20/7/2015,273.498993,293.052002,272.959991,292.686005,292.686005,157457100,2015
BTCUSD,Crypto,Bitcoin,0,0,27/7/2015,292.639008,297.773987,277.528992,282.614014,282.614014,162700300,2015
BTCUSD,Crypto,Bitcoin,0,0,3/8/2015,282.806,285.714996,260.467987,265.083008,265.083008,207110300,2015
BTCUSD,Crypto,Bitcoin,0,0,10/8/2015,265.477997,270.673004,257.040985,258.506989,258.506989,177043500,2015
BTCUSD,Crypto,Bitcoin,0,0,17/8/2015,258.48999,260.505005,211.078995,228.169006,228.169006,221695600,2015
BTCUSD,Crypto,Bitcoin,0,0,24/8/2015,228.112,235.218994,199.567001,228.761002,228.761002,241915000,2015
BTCUSD,Crypto,Bitcoin,0,0,31/8/2015,229.113998,242.912003,225.914993,239.839996,239.839996,144635800,2015
BTCUSD,Crypto,Bitcoin,0,0,7/9/2015,239.934006,245.781006,229.332001,230.511993,230.511993,148588700,2015
BTCUSD,Crypto,Bitcoin,0,0,14/9/2015,230.608994,259.182007,227.401993,231.212006,231.212006,126654700,2015
BTCUSD,Crypto,Bitcoin,0,0,21/9/2015,231.216995,237.427002,225.117004,232.757004,232.757004,137307600,2015
BTCUSD,Crypto,Bitcoin,0,0,28/9/2015,232.835999,239.802002,232.466995,238.259003,238.259003,136796200,2015
BTCUSD,Crypto,Bitcoin,0,0,5/10/2015,238.147003,247.242996,237.035004,247.050003,247.050003,142478600,2015
BTCUSD,Crypto,Bitcoin,0,0,12/10/2015,246.875,273.578003,243.757004,261.643005,261.643005,199808300,2015
BTCUSD,Crypto,Bitcoin,0,0,19/10/2015,261.860992,294.05899,260.950989,283.679993,283.679993,220696500,2015
BTCUSD,Crypto,Bitcoin,0,0,26/10/2015,283.627991,334.169006,280.51001,325.431,325.431,357648800,2015
